from,to,const,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40
NTAR,NTMS,286.2916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTAR,NTOK,84.45833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTAR,NTTN,1.041666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTAR,NTTX,86.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTAZ,NTCA,236.9583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTAZ,NTNM,244.7916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTAZ,NTNV,12.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTBC,NTID,123.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTBC,NTWA,76.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTCA,NTNV,74.08333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTCA,NTOR,99.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTCO,NTKS,63.29166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTCO,NTNE,121.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTCO,NTNM,91.54166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTCO,NTOK,20.20833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTCO,NTUT,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTCO,NTWY,194.0833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTCT,NTMA,6.833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTCT,NTNY,98.79166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTCT,NTRI,31.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTDE,NTMD,6.041666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTDE,NTNJ,5.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTDE,NTPA,15.83333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTFL,NTGA,17.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTGA,NTSC,188.7083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTGA,NTTN,15.91666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIA,NTIL,247.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIA,NTMN,171.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIA,NTMO,28.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIA,NTNE,137.5833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIA,NTSD,3.916666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTID,NTNV,6.583333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTID,NTOR,20.04166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTID,NTUT,25.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTID,NTWA,121.4583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIL,NTIN,314.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIL,NTKY,64.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIL,NTMO,170.2916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIL,NTWI,116.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIN,NTKY,148.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIN,NTMI,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIN,NTOH,220.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTKS,NTMO,193.0833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTKS,NTNE,179.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTKS,NTOK,233.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTKY,NTOH,173.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTKY,NTTN,524.8333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTKY,NTVA,2.083333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTKY,NTWV,118.4583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTLA,NTMS,756.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTLA,NTTX,432.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMA,NTNH,26.16666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMA,NTNY,48.70833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMA,NTRI,29.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMB,NTMN,124.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMD,NTPA,135.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMD,NTVA,265.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMD,NTWV,0.208333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTME,NTNB,36.04166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTME,NTNH,36.45833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMI,NTOH,78.83333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMI,NTON,164.7916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMI,NTWI,102.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMN,NTND,78.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMN,NTON,2.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMN,NTSD,98.95833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMN,NTWI,119.8333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMO,NTNE,28.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMO,NTOK,3.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMS,NTTN,417.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMT,NTND,110.2916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMT,NTSK,99.29166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMT,NTWY,20.70833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTNC,NTSC,153.8333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTNC,NTVA,126.4583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTND,NTSD,101.2083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTND,NTSK,80.16666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTNE,NTSD,1.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTNE,NTWY,117.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTNH,NTQU,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTNJ,NTNY,163.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTNJ,NTPA,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTNM,NTTX,193.2083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTNV,NTUT,84.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTNY,NTON,134.1666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTNY,NTPA,141.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTOH,NTPA,89.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTOH,NTWV,121.0416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTOK,NTTX,248.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTOR,NTWA,179.7916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTPA,NTWV,218.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTQU,NTVT,2.583333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTSD,NTWY,3.541666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTTN,NTVA,2.916666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTUT,NTWY,163.0416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTVA,NTWV,89.83333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTFG,NTAL,142.7083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTFG,NTLA,1028.708333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTFG,NTMS,55.08333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTFG,NTTX,132.2083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTFP,NTCA,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTAZ,NOMX,10.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTCA,NOMX,34.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTTX,NOMX,106.2916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Natural gas production (MMcf / h),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPAL,NTAL,35.61378113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPAR,NTAR,80.52706273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPAZ,NTAZ,0.065542133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPCA,NTCA,37.74309365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPCO,NTCO,209.342471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPKS,NTKS,48.99466611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPLA,NTLA,206.0558655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPMI,NTMI,20.13601796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPMS,NTMS,17.04407015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPMT,NTMT,16.13459124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPND,NTND,12.77655745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPNE,NTNE,0.466835386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPNM,NTNM,196.0217174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPNY,NTNY,7.266379489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPOH,NTOH,10.73282653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPOK,NTOK,270.4821009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPOR,NTOR,0.120224783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPSD,NTSD,1.60936153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPTX,NTTX,1182.593993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPUT,NTUT,69.34643012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPVA,NTVA,18.01618962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPWV,NTWV,36.1610672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPWY,NTWY,345.8730859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFG,NTFG,354.842664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFP,NTFP,6.144178213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPAR,NTAR,132.65833,% Updated production data from here - 2012 EIA data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFL,NTFL,3.08879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPIL,NTIL,0.351356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPIN,NTIN,1.457341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPKY,NTKY,17.54663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPLA,NTLA,342.06445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPMD,NTMD,0.007275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPND,NTND,20.718054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPPA,NTPA,261.1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPTN,NTTN,0.963128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPWV,NTWV,62.483799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"% Natural gas storage, working capacity (MMcf / h)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSAL,NSAL,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSAR,NSAR,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSCA,NSCA,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSCO,NSCO,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSIL,NSIL,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSIN,NSIN,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSIA,NSIA,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSKS,NSKS,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSKY,NSKY,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSLA,NSLA,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSMD,NSMD,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSMI,NSMI,925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSMN,NSMN,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSMS,NSMS,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSMO,NSMO,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSMT,NSMT,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSNE,NSNE,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSNM,NSNM,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSNY,NSNY,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSOH,NSOH,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSOK,NSOK,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSOR,NSOR,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSPA,NSPA,607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSTN,NSTN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSTX,NSTX,693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSUT,NSUT,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSVA,NSVA,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSWA,NSWA,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSWV,NSWV,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSWY,NSWY,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"% Natural gas storage, withdrawal capacity (MMcf / h)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSAL,NTAL,66.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSAR,NTAR,9.604166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSCA,NTCA,286.4583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSCO,NTCO,45.33254167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSIL,NTIL,255.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSIN,NTIN,32.52720833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSIA,NTIA,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSKS,NTKS,100.732125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSKY,NTKY,79.50979167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSLA,NTLA,347.506875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSMD,NTMD,16.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSMI,NTMI,724.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSMN,NTMN,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSMS,NTMS,222.80725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSMO,NTMO,14.58333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSMT,NTMT,12.90895833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSNE,NTNE,7.041666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSNM,NTNM,14.58333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSNY,NTNY,75.49941667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSOH,NTOH,203.2104167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSOK,NTOK,156.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSOR,NTOR,21.45833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSPA,NTPA,357.173125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSTN,NTTN,0.833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSTX,NTTX,539.6562083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSUT,NTUT,21.95833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSVA,NTVA,13.54166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSWA,NTWA,47.91666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSWV,NTWV,159.9369583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSWY,NTWY,12.568125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"% Natural gas storage, injection capacity (MMcf / h)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTAL,NSAL,33.33333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTAR,NSAR,4.802083334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTCA,NSCA,143.2291667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTCO,NSCO,22.66627084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIL,NSIL,127.8333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIN,NSIN,16.26360417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIA,NSIA,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTKS,NSKS,50.3660625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTKY,NSKY,39.75489584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTLA,NSLA,173.7534375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMD,NSMD,8.333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMI,NSMI,362.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
