from,to,const,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40
NTCO,NSCO,22.66627084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIL,NSIL,127.8333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIN,NSIN,16.26360417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIA,NSIA,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTKS,NSKS,50.3660625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTKY,NSKY,39.75489584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTLA,NSLA,173.7534375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMD,NSMD,8.333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMI,NSMI,362.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMN,NSMN,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMS,NSMS,111.403625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMO,NSMO,7.291666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMT,NSMT,6.454479165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTNE,NSNE,3.520833334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTNM,NSNM,7.291666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTNY,NSNY,37.74970834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTOH,NSOH,101.6052084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTOK,NSOK,78.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTOR,NSOR,10.72916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTPA,NSPA,178.5865625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTTN,NSTN,0.416666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTTX,NSTX,269.8281042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTUT,NSUT,10.97916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTVA,NSVA,6.770833335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTWA,NSWA,23.95833334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTWV,NSWV,79.96847915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTWY,NSWY,6.2840625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Pulverized coal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC01,EL01,0.067,62.11645,59.10345,55.0291,51.2165,45.9719,42.2739,36.117,30.6611,27.9955,26.34055,24.20235,21.86155,19.30505,16.40425,14.29335,11.77225,10.67825,7.548,6.8505,5.5556,5.5267,5.2119,3.8836,3.2135,1.708,1.24095,1.21995,1.20895,0.77415,0.433,0.433,0.433,0.4298,0.4204,0.4204,0.4204,0.4204,0.4204,0.091,0.067
EC02,EL02,0,21.0163,21.0163,21.0163,21.0163,20.4229,19.8295,19.8295,19.2361,18.6427,18.2827,15.7114,12.5849,11.1767,8.4287,7.8381,5.6875,5.234,5.234,3.052,1.3752,1.3752,0.9152,0.9152,0.7406,0.566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC03,EL03,0,17.701,16.765,14.0786,11.1268,8.9888,8.1833,7.3643,7.3643,7.3584,6.4447,4.839,4.839,4.809,3.4529,3.4529,3.4529,3.4529,2.7679,2.7499,2.6829,2.4979,2.3615,2.2581,2.054,1.271,1.1408,1.0461,1.0461,0.814,0.814,0.814,0.814,0.585,0.585,0.585,0.585,0.585,0,0,0
EC04,EL04,0.2975,16.10575,14.4489,13.3795,12.30865,12.0218,9.448,8.503,8.49675,6.71345,5.86495,4.63705,3.50855,3.31505,2.6438,2.33805,1.38565,1.38565,1.38565,0.8578,0.83855,0.7038,0.69655,0.61455,0.61455,0.56955,0.56955,0.56955,0.53855,0.53855,0.53305,0.45805,0.45805,0.45805,0.45805,0.45205,0.45205,0.45205,0.42005,0.30095,0.2975
EC05,EL05,1.22,18.9514,18.4163,17.86705,17.58055,17.52995,17.15425,16.75475,16.73975,15.03495,14.26215,12.65385,11.65465,8.88325,7.412,5.98445,5.08565,4.09825,3.66335,3.124,2.6891,1.60725,1.46745,1.46445,1.44365,1.44365,1.43965,1.43965,1.43965,1.40865,1.39675,1.37375,1.37375,1.37375,1.25265,1.25265,1.25265,1.25265,1.25265,1.22345,1.22
EC06,EL06,0,0.9104,0.8704,0.8448,0.8448,0.8448,0.8448,0.8448,0.8448,0.8448,0.8448,0.8448,0.8448,0.8448,0.8448,0.8448,0.8448,0.8448,0.1897,0.1897,0.1897,0.1641,0.1566,0.1011,0.1011,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0,0,0,0,0
EC07,EL07,0,1.0678,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3165,0.3165,0.3165,0.3165,0.1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC08,EL08,0,10.3158,10.3158,9.792,8.9768,8.9768,8.9768,7.9533,7.9533,7.9533,7.5078,7.5078,7.5078,7.5078,7.5078,7.2571,6.0797,6.0797,4.6259,3.4253,3.4253,2.2818,1.4778,1.4778,1.4778,1.4778,1.4778,1.4778,1.1862,0.7908,0,0,0,0,0,0,0,0,0,0,0
EC09,EL09,1.243,37.8355,36.4849,34.46125,32.49335,30.30585,27.70035,23.43345,19.64195,17.29485,16.3397,15.75055,13.65705,13.46695,12.17075,11.5104,10.604,9.8449,8.39465,7.54665,7.54665,6.37405,6.25275,4.60675,4.47995,3.74645,3.4551,3.4351,3.2182,2.3575,1.59905,1.59905,1.59905,1.49985,1.49985,1.243,1.243,1.243,1.243,1.243,1.243
EC10,EL10,0,24.2511,23.82665,23.1775,22.73175,21.8844,21.2739,19.7814,19.77515,19.77515,19.36765,17.226,15.151,14.0645,11.0895,8.45785,5.83375,3.29605,1.87405,1.35405,0.6141,0.6141,0.60685,0.60685,0.25685,0.25685,0.25685,0.25685,0.25685,0.25685,0.25685,0.25685,0.25685,0.25685,0.25685,0,0,0,0,0,0
EC11,EL11,0.2895,13.4768,13.0677,13.05685,13.05685,12.89365,11.98375,11.25385,10.4669,9.81995,9.059,8.5535,7.8842,7.5922,6.5029,5.6557,5.3707,4.5803,3.8023,3.5125,1.415,0.595,0.595,0.595,0.5535,0.5535,0.5535,0.4954,0.4892,0.4492,0.4492,0.4492,0.4492,0.4492,0.4492,0.4492,0.4492,0.4052,0.4052,0.4052,0.2895
EC12,EL12,0.0475,16.6911,16.119,15.29005,14.47195,14.30875,14.12875,13.37725,12.1099,10.62185,8.8779,8.8629,8.393,6.2807,4.9041,3.3678,2.5278,2.5078,1.5108,1.086,1.086,1.086,1.086,1.086,0.6612,0.5819,0.5819,0.5819,0.5819,0.5419,0.5419,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.4975,0.4975,0.4975,0.0475
EC13,EL13,0,0.4154,0.4154,0.4154,0.4154,0.4154,0.4154,0.4154,0.4154,0.4154,0.4154,0.4154,0.3604,0.3604,0.3604,0.3604,0.3604,0.3604,0.3604,0.3604,0.3604,0.3064,0.2464,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
% Inland Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EW01,EL01,0,0.5913,0.5913,0.5913,0.5913,0.5913,0.5913,0.5913,0.5913,0.5913,0.5913,0.5913,0.5913,0.5913,0.5913,0.5913,0.5913,0.5913,0.5913,0.5913,0.5895,0.5235,0.5199,0.5163,0.5163,0.5163,0.5163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW02,EL02,0,7.4308,7.4308,7.4308,7.4308,7.4308,7.4308,7.4308,7.4308,7.4308,7.4308,7.4308,7.4308,7.4308,7.3972,7.3972,7.3972,7.3629,7.2509,7.2509,6.4991,6.3386,6.1381,6.1381,5.5846,4.6933,2.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW03,EL03,0,0.3606,0.3606,0.3606,0.3606,0.3606,0.3606,0.3606,0.3606,0.3606,0.3606,0.3606,0.3606,0.3606,0.3606,0.3606,0.3606,0.3606,0.3606,0.3502,0.3262,0.3262,0.2317,0.2317,0.2317,0.2077,0.0672,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW04,EL04,0,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.2244,1.2137,1.2137,1.2137,1.1987,1.1483,1.1483,1.0936,1.0936,0.43085,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW05,EL05,0,5.42895,5.42895,5.42895,5.42895,5.42895,5.42895,5.42895,5.42895,5.42895,5.42895,5.42895,5.42895,5.40705,5.40705,5.40705,5.40705,5.29745,4.91065,4.90455,4.78955,4.62665,4.27485,4.06295,3.67125,3.35925,2.53685,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW06,EL06,0,0.7066,0.7066,0.7066,0.7066,0.7066,0.7066,0.7066,0.7066,0.7066,0.7066,0.7066,0.7066,0.7066,0.7066,0.7066,0.7066,0.7066,0.7066,0.6885,0.6585,0.6585,0.6585,0.6585,0.5215,0.3365,0.282,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW07,EL07,0,0.0783,0.0783,0.0783,0.0783,0.0783,0.0783,0.0783,0.0783,0.0783,0.0783,0.0783,0.0783,0.0783,0.0783,0.0783,0.0723,0.0723,0.0723,0.0723,0.0723,0.0723,0.0723,0.0723,0.0723,0.0705,0.0285,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW08,EL08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW09,EL09,0,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.027,0.027,0.027,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW10,EL10,0,1.60125,1.60125,1.60125,1.60125,1.60125,1.60125,1.60125,1.60125,1.60125,1.60125,1.60125,1.60125,1.60125,1.60125,1.60125,1.60125,1.60125,1.60125,1.60125,1.60125,1.48925,1.31295,1.31295,0.86495,0.64495,0.5221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW11,EL11,0,3.1815,3.1815,3.1815,3.1815,3.1815,3.1815,3.1815,3.1815,3.1815,3.1815,3.1815,3.1815,3.1815,3.1815,3.1815,3.1815,3.1559,3.12015,3.11105,2.76175,2.61615,2.50315,2.50315,2.1314,1.5258,0.7148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW12,EL12,0,1.901,1.901,1.901,1.901,1.901,1.901,1.901,1.901,1.901,1.901,1.901,1.901,1.901,1.901,1.901,1.901,1.8952,1.84295,1.83385,1.76925,1.76925,1.33125,1.26525,1.124,0.974,0.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW13,EL13,0,2.3175,1.9751,1.7986,1.6875,1.5873,1.4773,1.4503,1.3515,1.1945,1.1176,1.1107,1.1065,1.0003,1.0003,0.972,0.9579,0.9579,0.8459,0.8459,0.7793,0.6685,0.4841,0.4016,0.3411,0.1291,0.0661,0,0,0,0,0,0,0,0,0,0,0,0,0,0
% PV Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV01,EL01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EV02,EL02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EV03,EL03,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0
EV04,EL04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EV05,EL05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EV06,EL06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EV07,EL07,0,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,0,0,0,0,0,0,0,0,0
EV08,EL08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EV09,EL09,0,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0,0,0,0,0,0,0,0,0
EV10,EL10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EV11,EL11,0,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.01,0,0,0,0,0,0,0,0,0
EV12,EL12,0,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0193,0.0193,0.0193,0.0193,0.0193,0.0193,0.0193,0.0193,0.0193,0.0193,0.0192,0.0191,0.0191,0.0138,0.0117,0.0117,0.0117,0.0117,0.0117,0.0035,0,0,0,0,0,0,0,0,0
EV13,EL13,0,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0154,0.0154,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0134,0.0094,0,0,0,0,0,0,0,0,0
% Solar Thermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EU01,EL01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EU02,EL02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EU03,EL03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EU04,EL04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EU05,EL05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EU06,EL06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EU07,EL07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EU08,EL08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EU09,EL09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EU10,EL10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EU11,EL11,0,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0,0,0,0,0,0,0,0,0,0
EU12,EL12,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0
EU13,EL13,0,0.4004,0.4004,0.4004,0.4004,0.4004,0.4004,0.4004,0.3866,0.3566,0.2882,0.254,0.184,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
% Nuclear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN01,EL01,2.5286,8.3781,8.3781,8.3781,8.3781,8.3781,8.3781,8.3781,8.3781,8.3781,8.3781,8.3781,8.3781,8.3781,8.3781,8.3781,8.3781,8.3781,8.3781,8.3781,8.3781,8.3781,8.3781,8.3781,8.3781,8.3781,7.14255,6.7188,6.7188,5.5668,5.5668,4.6416,3.01845,3.01845,2.5286,2.5286,2.5286,2.5286,2.5286,2.5286,2.5286
EN02,EL02,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386,5.1386
EN03,EL03,2.0619,11.8281,11.8281,11.8281,11.8281,11.8281,11.8281,11.8281,11.8281,11.8281,11.8281,11.8281,11.8281,11.8281,11.8281,11.8281,11.8281,11.8281,11.8281,11.8281,11.8281,11.8281,11.8281,11.8281,11.8281,11.8281,11.8281,11.8281,8.5485,7.6305,6.7071,5.7964,5.7964,5.7964,5.7964,5.7964,5.7964,4.4984,4.4984,3.2004,2.0619
EN04,EL04,4.8152,13.46695,13.46695,13.46695,13.46695,13.46695,13.46695,13.46695,13.46695,13.46695,13.46695,13.46695,13.46695,13.46695,13.46695,13.46695,13.46695,13.46695,13.46695,13.46695,13.46695,13.46695,13.46695,13.46695,12.29305,11.38105,9.29515,9.29515,9.0151,9.0151,9.0151,9.0151,9.0151,9.0151,9.0151,9.0151,9.0151,9.0151,6.0572,4.8152,4.8152
EN05,EL05,0,4.60375,4.60375,4.60375,4.60375,4.60375,4.60375,4.60375,4.60375,4.60375,4.60375,4.60375,4.60375,4.60375,4.60375,4.60375,4.60375,4.60375,4.60375,4.60375,4.60375,4.60375,4.60375,4.60375,4.34185,3.71065,3.44875,2.94675,0.6795,0,0,0,0,0,0,0,0,0,0,0,0
EN06,EL06,0,5.7081,5.7081,5.7081,5.7081,5.7081,5.7081,5.7081,5.7081,5.7081,5.7081,5.7081,5.7081,5.7081,5.7081,5.7081,5.7081,5.7081,5.7081,5.7081,5.7081,5.7081,5.7081,3.807,3.193,3.193,3.193,1.894,1.894,1.894,0,0,0,0,0,0,0,0,0,0,0
EN07,EL07,1.242,4.6383,4.6383,4.6383,4.6383,4.6383,4.6383,4.6383,4.6383,4.6383,4.6383,4.6383,4.6383,4.6383,4.6383,4.6383,4.6383,4.6383,4.6383,4.6383,4.6383,4.6383,4.6383,4.6383,4.6383,4.6383,3.4049,3.4049,3.4049,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,2.495,1.242
EN08,EL08,0,4.1104,4.1104,4.1104,4.1104,4.1104,4.1104,4.1104,4.1104,4.1104,4.1104,4.1104,4.1104,4.1104,4.1104,4.1104,4.1104,4.1104,4.1104,4.1104,4.1104,4.1104,4.1104,4.1104,4.1104,4.1104,3.3504,2.5904,2.5904,2.5904,1.7404,0.85,0.85,0.85,0.85,0.85,0.85,0,0,0,0
EN09,EL09,4.5408,27.51745,27.51745,27.51745,27.51745,27.51745,27.51745,27.51745,27.51745,27.51745,27.51745,27.51745,27.51745,27.51745,27.51745,27.51745,27.51745,27.51745,27.51745,27.51745,27.51745,27.51745,27.51745,27.51745,27.51745,26.74885,26.3251,25.01465,22.08265,19.17855,19.17855,16.20535,15.7155,14.8508,14.36095,11.03195,9.81145,9.81145,7.63725,5.7459,4.5408
EN10,EL10,0,6.62055,6.62055,6.62055,6.62055,6.62055,6.62055,6.62055,6.62055,6.62055,6.62055,6.62055,6.62055,6.62055,6.62055,6.62055,6.62055,6.62055,6.62055,6.62055,6.62055,6.62055,6.62055,6.62055,6.62055,6.62055,6.62055,6.62055,5.71805,5.71805,5.71805,5.71805,5.71805,5.71805,4.77555,4.77555,4.77555,4.77555,4.15765,1.0359,0
EN11,EL11,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,0,0,0
EN12,EL12,1.4031,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,4.2093,1.4031
EN13,EL13,0,4.577,4.577,4.577,4.577,4.577,4.577,4.577,4.577,4.577,4.577,4.577,4.577,4.577,4.577,4.577,4.577,4.577,4.577,4.577,4.577,4.577,4.577,4.577,4.577,4.577,4.577,4.577,4.577,4.577,4.577,4.577,4.577,4.577,4.577,4.577,4.577,3.45,2.323,1.164,0
% Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EO01,EL01,0,0.7447,0.7447,0.7187,0.7187,0.7052,0.67545,0.60685,0.60465,0.60095,0.58695,0.58265,0.57665,0.54985,0.51635,0.51485,0.4888,0.4819,0.4761,0.46465,0.459,0.44115,0.43835,0.38795,0.25635,0.10895,0.09015,0.06845,0.05675,0.04855,0.02295,0.0121,0,0,0,0,0,0,0,0,0
EO02,EL02,0,0.242,0.242,0.242,0.24,0.24,0.24,0.2204,0.2204,0.2204,0.0364,0.0364,0.0364,0.0364,0.0364,0.0332,0.0332,0.0332,0.0332,0.0332,0.0332,0.0296,0.0188,0.0188,0.017,0.0066,0.003,0.003,0.003,0.003,0.0015,0.0015,0,0,0,0,0,0,0,0,0
EO03,EL03,0,1.424,1.4116,1.4116,1.4116,0.7526,0.7526,0.7526,0.7482,0.7482,0.7482,0.7482,0.7462,0.73,0.636,0.18,0.18,0.1788,0.1764,0.1704,0.1704,0.0144,0.0144,0.0126,0.0108,0.0108,0.0108,0.0108,0,0,0,0,0,0,0,0,0,0,0,0,0
EO04,EL04,0,0.6614,0.44705,0.43115,0.42645,0.41755,0.4134,0.4079,0.4067,0.40045,0.3937,0.39155,0.38585,0.371,0.35895,0.35895,0.35105,0.34335,0.341,0.33805,0.31145,0.3065,0.2942,0.28165,0.2279,0.1776,0.111,0.0771,0.06285,0.0534,0.0486,0.0059,0,0,0,0,0,0,0,0,0
EO05,EL05,0,1.8749,1.1257,1.1144,1.1096,1.10625,1.101,1.0988,1.0988,1.0876,1.0805,1.0702,1.0656,1.06215,1.007,0.9215,0.8854,0.8623,0.8326,0.80565,0.77285,0.7464,0.6976,0.6447,0.51005,0.40145,0.28765,0.20375,0.15155,0.0554,0.0412,0.002,0,0,0,0,0,0,0,0,0
EO06,EL06,0,1.4579,1.4579,0.5561,0.5561,0.5561,0.5561,0.5561,0.5481,0.5481,0.5481,0.5191,0.5191,0.2802,0.2802,0.2791,0.2756,0.2749,0.2176,0.2176,0.2176,0.2176,0.2176,0.2176,0.2176,0.2176,0.1176,0.0036,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0
EO07,EL07,0,1.72,1.0757,1.0067,1.006,0.6447,0.4747,0.4747,0.4736,0.4198,0.413,0.4101,0.4002,0.4002,0.3962,0.3957,0.3835,0.3754,0.3712,0.3192,0.147,0.1465,0.1465,0.1452,0.1426,0.1409,0.1393,0.138,0.0856,0.0802,0.0498,0.04,0,0,0,0,0,0,0,0,0
EO08,EL08,0,3.4996,2.92,2.92,1.9955,1.1313,1.1271,1.0887,1.0887,1.0887,1.0887,1.0887,1.0887,1.0847,1.0847,1.0655,0.9505,0.9481,0.9481,0.9481,0.9481,0.7831,0.7796,0.7402,0.7402,0.6387,0.042,0.042,0.042,0.042,0,0,0,0,0,0,0,0,0,0,0
EO09,EL09,0,2.0703,2.0692,2.0023,1.9495,1.9492,1.94735,1.94735,1.93985,1.93985,1.93715,1.92035,1.85885,1.79205,1.78485,1.75415,1.7461,1.7171,1.7078,1.69525,1.6923,1.67285,1.62845,1.62045,1.42145,0.70255,0.11515,0.08665,0.07145,0.05245,0.02985,0.0101,0,0,0,0,0,0,0,0,0
EO10,EL10,0,0.5071,0.40715,0.40715,0.39665,0.3859,0.3839,0.3688,0.3665,0.36015,0.3534,0.35275,0.33545,0.32085,0.30705,0.29475,0.28315,0.27865,0.2707,0.2707,0.2658,0.2598,0.2525,0.21995,0.20915,0.19785,0.15815,0.12525,0.0845,0.0789,0.0719,0.0034,0,0,0,0,0,0,0,0,0
